T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_A_mrežni _N_efekat _A_zajednički _A_rad,_A_mrežni _N_efekat _A_zajednički _A_rad,_A_mrežni _N_efekat _A_zajednički _A_rad,_NOUN_network_NOUN_effect,1,0
_A_višejezički _N_upravljanje,_A_višejezički _N_upravljanje,_A_višejezički _N_upravljanje,_ADJ_multilingual,0,0
_V_jesam _A_obavezan _N_ala,_V_jesam _A_obavezan _N_ala _PRO_sebe,_A_obavezan _N_ala,_NOUN_mandatory,0,0
_N_razvoj _A_informacioni _N_tehnologija,_N_razvoj _A_informacioni _N_tehnologija,_N_razvoj _A_informacioni _N_tehnologija,_NOUN_development_ADP_of_NOUN_information_NOUN_technology,1,1
_A_upravljački _N_struktura,_A_upravljački _N_struktura,_A_upravljački _N_struktura,_NOUN_governance_NOUN_structure,1,1
_A_rad _PREF_i _N_znanje,_A_rad _PREF_i _N_znanje,_N_znanje _PREF_za _A_rad,_NOUN_knowledge_NOUN_work,0,1
_PREF_za _A_ličan _N_ime,kao _A_ličan _N_ime,_A_ličan _N_ime,_ADJ_first_NOUN_name,0,1
_A_bibliografski _V_obraditi,_A_bibliografski _N_obrada,_A_bibliografski _N_obrada,_ADJ_bibliographic_NOUN_description,0,0
_N_knjiga _PREF_u _N_zbirka,_N_knjiga _PREF_u _N_zbirka,_N_zbirka _N_knjiga,_NOUN_book_NOUN_collection,0,1
_N_korisnik _N_računar sa,_N_korisnik _N_računar sa,_N_korisnik _N_računar,_NOUN_computer,0,0
_A_konačan _N_rezultat,_A_konačan _N_rezultat _PRO_ona,_A_konačan _N_rezultat,_ADJ_final_NOUN_output,1,1
_PREF_i _A_ostali _N_propis _PRO_koji,_PREF_i _A_ostali _N_propis,_A_ostali _N_propis,_NOUN_regulation,0,0
_N_arhivist _PREF_u _N_krug,_PREF_i _N_arhivist _PREF_u _N_krug,_N_arhivist _PREF_u _N_krug,_NOUN_archivist,0,0
_PRO_ona _A_prikazan _N_izgled,_PRO_ona _A_prikazan _N_izgled,_A_prikazan _N_izgled,_NOUN_show,0,0
_N_odrednica _N_rečnik,_N_odrednica _N_rečnik,_N_odrednica _PREF_u _N_rečnik,_NOUN_entry,0,1
_PREF_i _N_struktura _N_podatak,_PREF_i _N_struktura _N_podatak _PRO_koji,_PRO_sam _N_struktura _N_podatak,_NOUN_data_VERB_structure,1,0
_A_digitalan _A_dobar _PRO_koji _V_biti,_A_digitalan _A_dobar _PRO_koji _V_biti,_A_digitalan _A_dobar,_ADJ_digital_NOUN_asset,1,0
_A_projektni _N_dokumentacija,_A_projektni _N_dokumentacija,_A_projektni _N_dokumentacija,_NOUN_project_NOUN_documentation,1,1
_N_alat _N_informacija,_N_alat _N_informacija,_N_alat _N_informacija,_NOUN_information_NOUN_tool,0,0
_N_mobilnost _N_stručnjak,_N_mobilnost _N_stručnjak,_N_mobilnost _N_stručnjak,_NOUN_mobility_ADP_of_ADJ_professional,1,1
_A_odnosni _A_visok _N_školstvo,_A_odnosni _A_visok _N_školstvo,_A_odnosni _A_visok _N_školstvo,_ADJ_higher_NOUN_education,0,0
_A_bibliotečki _N_zajednica _V_jesam _V_dati,_A_bibliotečki _N_zajednica,_A_bibliotečki _N_zajednica,_NOUN_library_NOUN_community,1,1
_N_računar _PREF_u _N_oblak,sa _N_računar _PREF_u _N_oblak,_N_računar _PREF_u _N_oblak,_NOUN_cloud_NOUN_computing,1,0
_A_registrovan _N_korisnik _N_pozajmica,_A_registrovan _N_korisnik _N_pozajmica,_A_registrovan _N_korisnik _N_pozajmica,_VERB_registered_NOUN_user,0,0
_V_izjaviti _PREF_o _A_autorski _A_prav _PREF_za,_N_izjava _PREF_o _A_autorski _A_prav _PREF_za,_N_izjava _PREF_o _A_autorski _A_prav,_NOUN_europeana_VERB_right_NOUN_statement,1,0
_N_korišćenje _N_štampač,_N_korišćenje _N_štampač,_N_korišćenje _N_štampač,_NOUN_printer,0,0
_N_pretplata _PREF_na _A_dat _N_časopis,_N_pretplata _PREF_na _A_dat _N_časopis,_N_pretplata _PREF_na _A_dat _N_časopis,_ADJ_journal_NOUN_subscription,1,0
_N_projekt _N_evaluacija,_N_projekt _N_evaluacija _PREF_i,_N_evaluacija _PREF_u _N_projekt,_NOUN_project_VERB_assessment,0,0
_A_naučni _N_saznanje _PREF_i,_A_naučni _N_saznanje,_A_naučni _N_saznanje,_ADJ_scientific_NOUN_knowledge,1,0
_A_centralni srbiji _PREF_i _PREF_na,_PREF_u _A_centralni srbiji _PREF_i,_A_centralni srbiji,_ADJ_central_NOUN_serbia,1,1
_N_homonimija _A_ličan _N_ime _PRO_ona,_N_homonimija _A_ličan _N_ime,_N_homonimija _A_ličan _N_ime,_PRON_homonymy,0,0
_A_drugi _N_predavač,_PREF_i _A_drugi _N_predavač _PREF_u,_A_drugi _N_predavač,_NOUN_lecturer,0,0
_N_biblioteka _PREF_u _N_konzorcijum,_N_konzorcijum _N_biblioteka,_N_biblioteka _PREF_u _N_konzorcijum,_NOUN_library_NOUN_consortium,0,1
_N_dužina stema,_N_dužina stema a,_N_dužina stema,_NOUN_stem_NOUN_length,1,1
_A_pisaći _N_glava,_A_pisaći _N_glava,_A_pisaći _N_glava,_ADP_write_NOUN_head,0,1
pdf _N_sadržaj,pdf _N_sadržaj,pdf _N_sadržaj,_NOUN_PDF,1,0
_N_sistem _PREF_za _N_pronalaženje _N_informacija _PREF_za _A_srpski,_N_sistem _PREF_za _N_pronalaženje _N_informacija _PREF_za _A_srpski,_A_srpski _N_sistem _PREF_za _N_pronalaženje _N_informacija,_NOUN_information_NOUN_retrieval_NOUN_system_ADP_for_ADJ_serbian,1,1
_N_odrednica _N_rečnik,_N_odrednica _N_rečnik,_N_odrednica _N_rečnik,_NOUN_entry,0,1
_PREF_i _PRO_njegov _A_proširen _N_verzija _PREF_u,_PREF_i _PRO_njegov _A_proširen _N_verzija,_A_proširen _N_verzija,_VERB_expanded_NOUN_edition,0,0
kao _A_digitalan _N_ekvivalent,_A_digitalan _N_ekvivalent,_A_digitalan _N_ekvivalent,_ADJ_digital_NOUN_representation,1,0
_N_konferencija _PREF_o _N_razumevanje _N_poruka,_N_konferencija _PREF_o _N_razumevanje _N_poruka,_N_konferencija _PREF_o _N_razumevanje _N_poruka,_NOUN_message,0,0
_PREF_u _A_pisan _N_forma _PREF_i,_A_pisan _N_forma _PREF_i,_A_pisan _N_forma,_VERB_writing,0,0
_N_informatika _N_institut _PREF_za,_N_informatika _N_institut,_N_informatika _N_institut,_NOUN_institute_ADP_of_NOUN_informatics,1,0
_N_pronalaženje _N_informacija,_N_pronalaženje _N_informacija _PRO_ona,_N_pronalaženje _N_informacija,_NOUN_information_NOUN_retrieval,1,1
_N_sistem _PREF_za _N_upravljanje,_N_sistem _PREF_za _N_upravljanje,_N_upravljanje _N_sistem,_NOUN_content_NOUN_management,1,0
_A_evropski _N_zemlja,_A_evropski _N_zemlja,_A_evropski _N_zemlja,_ADJ_european_NOUN_country,1,1
_PREF_i _A_redak _N_knjiga,_PREF_i _A_redak _N_knjiga _PREF_i,_A_redak _N_knjiga,_NOUN_rare_VERB_book,1,1
_PREF_i _N_datum _N_objavljivanje,_N_datum _N_objavljivanje,_N_datum _N_objavljivanje,_NOUN_date_ADP_of_NOUN_publication,1,1
_N_služba _N_dokumentacija,_N_služba _N_dokumentacija,_N_služba _N_dokumentacija,_NOUN_documentation_NOUN_service,1,1
_V_dati _PRO_sebe _V_odgovoriti _PREF_na _N_pitanje _PRO_koji,_V_dati _PRO_sebe _N_odgovor _PREF_na _N_pitanje,_N_odgovor _PREF_na _N_pitanje,_NOUN_question_CONJ_and_NOUN_answer,0,1
_A_metodološki _N_osnov _PREF_za _N_izrada,_A_metodološki _N_osnov _PREF_za _N_izrada,_A_metodološki _N_osnov _PREF_za _N_izrada,_VERB_used_ADP_for,0,0
_PREF_i _A_privatan _N_firma _PRO_koji,_PREF_i _A_privatan _N_firma,_A_privatan _N_firma,_ADJ_private_NOUN_company,1,1
_A_kompromisan _N_rešenje,_A_kompromisan _N_rešenje _PRO_koji _PRO_ona,_A_kompromisan _N_rešenje,_NOUN_compromise_NOUN_solution,1,1
_A_efikasan _N_implementacija,_A_efikasan _N_implementacija,_A_efikasan _N_implementacija,_NOUN_efficient_NOUN_implementation,1,1
ili _N_rečnik _A_ličan _N_ime,ili _N_rečnik _A_ličan _N_ime,_A_ličan _N_ime _PREF_u _N_rečnik,_ADJ_dictionary_ADP_of_NOUN_proper_NOUN_name,1,0
_A_bibliografski _N_jedinica,_A_bibliografski _N_jedinica,_A_bibliografski _N_jedinica,_ADJ_bibliographic_NOUN_unit,1,1
_PRO_ona _PRO_isti _N_koncept,_PRO_isti _N_koncept _PREF_iz,_PRO_isti _N_koncept,_NOUN_concept,0,0
_PREF_i _A_semantički _N_relacija _PRO_koji,_PREF_i _A_semantički _N_relacija,_A_semantički _N_relacija,_ADJ_semantic_NOUN_relation,0,1
_A_životan _N_aspekt,_A_životan _N_aspekt,_A_životan _N_aspekt,_NOUN_aspect_ADP_of_NOUN_life,1,1
_A_dat _N_uputstvo,_A_dat _N_uputstvo,_A_dat _N_uputstvo,_NOUN_instruction,0,0
_N_sistem _N_obeležavanje,_N_sistem _N_obeležavanje _PREF_u,_N_sistem _PREF_za _N_obeležavanje,_NOUN_notation_NOUN_system,0,0
_N_primer _N_toponim,_N_primer _N_toponim,_N_primer _PREF_za _N_toponim,_NOUN_toponym,0,0
_PREF_i _N_razmena _N_iskustvo,_PREF_i _N_razmena _N_iskustvo,_N_razmena _N_iskustvo,_NOUN_experience_NOUN_exchange,1,1
_A_udoban _N_čitanje,_A_udoban _N_čitanje,_A_udoban _N_čitanje,_ADJ_comfortable_NOUN_reading,1,1
_N_asocijacija _N_nacija,_N_asocijacija _N_nacija,_N_asocijacija _N_nacija,_NOUN_association,0,0
_N_upravljanje _N_znanje _PREF_i,_N_upravljanje _N_znanje,_N_upravljanje _N_znanje,_NOUN_knowledge_NOUN_management,1,1
_A_autorski _A_prav _PREF_i,_A_autorski _A_prav _PREF_iz,_A_autorski _A_prav,_NOUN_copyright_NOUN_law,0,0
_N_faza _N_projekt,_N_faza _N_projekt,_N_faza _N_projekt,_NOUN_project_NOUN_phase,0,1
_PREF_i _A_pohlepan stemer,_PREF_i _A_pohlepan stemer,_A_pohlepan stemer,_NOUN_greedy_NOUN_stemmer,1,1
_N_biblioteka _N_partner _PREF_i,_N_biblioteka _N_partner,_N_partner _N_biblioteka,_VERB_participating_NOUN_library,0,0
_A_kolaborativan _N_učenje,_PREF_i _A_kolaborativan _N_učenje,_A_kolaborativan _N_učenje,_ADJ_collaborative_NOUN_learning,1,1
_PREF_u _A_terminološki _A_rad,_A_terminološki _A_rad,_A_terminološki _A_rad,_NOUN_terminology_NOUN_work,0,1
_PRO_njihov _A_sopstven _N_sistem _PREF_za _N_odgovaranje _PREF_na _N_pitanje,_PRO_njihov _A_sopstven _N_sistem _PREF_za _N_odgovaranje _PREF_na _N_pitanje,_A_sopstven _N_sistem _PREF_za _N_odgovaranje _PREF_na _N_pitanje,_NOUN_question_VERB_answering_NOUN_system,1,0
_PREF_na _A_dalek _N_razvoj _N_nauk _PREF_i,_PREF_na _A_dalek _N_razvoj _N_nauk,_A_dalek _N_razvoj _N_nauk,_NOUN_development_ADP_in_NOUN_science,1,0
_V_brojati _A_pozajmljen _N_jedinica,kroz _V_brojati _A_pozajmljen _N_jedinica,_V_brojati _A_pozajmljen _N_jedinica,_NOUN_loan_NOUN_number,0,1
_V_nihati _N_biblioteka,_N_biblioteka _PREF_u _N_niša _PREF_i,_N_biblioteka _PREF_u _N_niša,_NOUN_library_ADP_of_NOUN_ni,1,0
_A_jasan _N_razlikovanje,_A_jasan _N_razlikovanje,_A_jasan _N_razlikovanje,_NOUN_separation,0,0
_A_specijalan _N_biblioteka _PREF_u _N_organizacija _PRO_koji,_A_specijalan _N_biblioteka _PREF_u _N_organizacija,_N_organizacija _A_specijalan _N_biblioteka,_ADJ_special_NOUN_library_ADP_within_NOUN_organization,1,1
_A_računarski _N_tehnologija _PREF_u _PRO_taj,_A_računarski _N_tehnologija,_A_računarski _N_tehnologija,_NOUN_computer_NOUN_technology,1,1
_PREF_i _V_piti _N_preporuka,_PREF_i _V_piti _N_preporuka,_V_piti _N_preporuka,_NOUN_recommendation_NOUN_letter,1,1
_N_tip _N_biblioteka _N_biblioteka _PRO_koji,_N_tip _N_biblioteka,_N_tip _N_biblioteka,_NOUN_library_NOUN_type,0,1
_A_opšti _N_informacija,_A_opšti _N_informacija _PREF_o,_A_opšti _N_informacija,_ADJ_general_NOUN_information,1,1
_A_hijerarhijski _N_stablo,ili _A_hijerarhijski _N_stablo _PREF_iz,_A_hijerarhijski _N_stablo,_ADJ_hierarchical_NOUN_tree,1,1
_A_kartografski _N_građa,_A_kartografski _N_građa,_A_kartografski _N_građa,_ADJ_cartographic_NOUN_material,0,1
_A_permanentan _N_obrazovanje,_PREF_na _A_permanentan _N_obrazovanje,_A_permanentan _N_obrazovanje,_NOUN_permanent_NOUN_education,0,1
_PREF_u _A_slobodan _N_pristup,_PREF_u _A_slobodan _N_pristup _PREF_i sa,_A_slobodan _N_pristup,_ADJ_open_NOUN_access,0,1
_PREF_do _A_pun _N_tekst,_PRO_ona _A_pun _N_tekst,_A_pun _N_tekst,_ADJ_full_NOUN_text,0,1
_N_pozorište _PREF_na _N_terazije _V_dati,_N_pozorište _PREF_na _N_terazije,_N_pozorište _PREF_na _N_terazije,_NOUN_terazije_NOUN_theatre,1,1
_N_obrada _N_podatak _PREF_i,_N_obrada _N_podatak _PREF_i,_N_obrada _N_podatak,_NOUN_information_NOUN_processing,1,1
_A_konačan _N_proizvod _V_pasti,_A_konačan _N_proizvod,_A_konačan _N_proizvod,_ADJ_final_NOUN_product,1,1
_PREF_i _A_informacioni _N_prostor,_A_informacioni _N_prostor,_A_informacioni _N_prostor,_NOUN_information_NOUN_space,1,1
_A_tehnički _N_opremljenost,_A_tehnički _N_opremljenost,_A_tehnički _N_opremljenost,_ADJ_technical_NOUN_equipment,1,1
_N_umetnost _PREF_i _N_istorija,_N_umetnost _PREF_i _N_istorija,_N_istorija _N_umetnost,_NOUN_history_ADP_of_NOUN_art,0,1
ladl _N_format,ladl _N_format,ladl _N_format,_NOUN_ladl_VERB_format,1,1
potei _N_standard,potei _N_standard,potei _N_standard,_NOUN_tei_VERB_standard,1,0
_N_prepoznavanje _N_figura,_N_prepoznavanje _N_figura,_N_prepoznavanje _N_figura,_NOUN_recognition_ADP_of_ADJ_rhetorical_NOUN_figure,1,0
_A_bibliotečki _N_statistika,_A_bibliotečki _N_statistika _PREF_iz,_A_bibliotečki _N_statistika,_NOUN_library_ADJ_statistic,1,0
_A_deskriptivan _N_podatak,_A_deskriptivan _N_podatak,_A_deskriptivan _N_podatak,_ADJ_descriptive_NOUN_data,1,1
_A_javan _N_vlasništvo,ili _PREF_u _A_javan _N_vlasništvo,_A_javan _N_vlasništvo,_ADJ_public_NOUN_domain,1,0
_A_krajnji _N_korisnik,_A_krajnji _N_korisnik,_A_krajnji _N_korisnik,_VERB_copying,0,0
_PREF_i _N_snabdevanje _N_dokument,_PREF_i _N_snabdevanje _N_dokument,_N_snabdevanje _N_dokument,_NOUN_document_NOUN_supply,1,1
_A_objedinjen _A_akademski _V_bazati _N_podatak,_A_objedinjen _A_akademski _V_bazati _N_podatak,_A_objedinjen _A_akademski _V_bazati _N_podatak,_VERB_aggregated_NOUN_database,1,0
_A_osnovni _V_načeti _PREF_i,_A_osnovni _V_načeti _PRO_koji,_PRO_sam _A_osnovni _V_načeti,_ADJ_basic_NOUN_principle,1,0
ili _A_papirni _N_forma a,ili _A_papirni _N_forma,_A_papirni _N_forma,_ADJ_electronic_NOUN_form,0,0
_N_nabavka _A_specijalizovan _N_uređaj _PREF_za,_N_nabavka _A_specijalizovan _N_uređaj _PREF_za,_N_nabavka _A_specijalizovan _N_uređaj,_NOUN_purchase,0,0
_A_srpski _A_ženski _N_ime _PREF_u,_A_srpski _A_ženski _N_ime _PREF_u,_A_srpski _A_ženski _N_ime,_ADJ_serbian_NOUN_female_NOUN_name,1,1
_PREF_i _V_dati _V_biti _A_digitalan _N_kolekcija,_A_digitalan _N_kolekcija ili,_A_digitalan _N_kolekcija,_ADJ_digital_NOUN_collection,0,1
_A_izmenjen _N_izdanje,_A_izmenjen _N_izdanje,_A_izmenjen _N_izdanje,_ADJ_new_NOUN_edition,0,0
_PREF_i _N_način _N_realizacija,_PREF_i _N_način _N_realizacija,_N_način _N_realizacija,_NOUN_realization,0,0
_A_jezički _N_resurs _PREF_na,_A_jezički _N_resurs _PREF_na,_A_jezički _N_resurs,_ADJ_lexical_NOUN_resource,1,0
_PRO_koji _A_drugi _N_povreda _A_prav _A_intelektualan _N_svojina,_PRO_koji _A_drugi _N_povreda _A_prav _A_intelektualan _N_svojina,_A_drugi _N_povreda _A_prav _A_intelektualan _N_svojina,_NOUN_copyright_VERB_infringement,0,0
_PREF_i impakt _N_faktor,impakt _N_faktor _PRO_ona,impakt _N_faktor,_NOUN_impact_NOUN_factor,0,1
_N_učestanost _N_pojavljivanje,_N_učestanost _N_pojavljivanje _PREF_u,_N_učestanost _N_pojavljivanje,_NOUN_frequency_ADP_of_NOUN_occurrence,1,1
a _N_trošak _N_održavanje,a _N_trošak _N_održavanje _PREF_su,_N_trošak _N_održavanje,_NOUN_maintenance_VERB_cost,0,1
_N_grupa _N_ljudi,_N_grupa _N_ljudi,_N_grupa _PREF_do _N_ljudi,_NOUN_group_ADP_of_NOUN_people,1,0
_N_kolekcija _PRO_neki _A_nacionalan _N_biblioteka _PREF_su,_N_kolekcija _PRO_neki _A_nacionalan _N_biblioteka,_N_kolekcija _A_nacionalan _N_biblioteka,_ADJ_national_NOUN_library_NOUN_collection,1,1
_PREF_i _A_imenički _N_fraza,_A_imenički _N_fraza,_A_imenički _N_fraza,_NOUN_noun_NOUN_phrase,1,1
_PREF_i _A_dalek _N_razvoj _N_projekt,_A_dalek _N_razvoj _N_projekt,_A_dalek _N_razvoj _N_projekt,_NOUN_development_NOUN_project,1,0
_A_podređen _N_termin,_A_podređen _N_termin,_A_podređen _N_termin,_NOUN_subordinate_NOUN_term,0,1
_N_izvor _N_informacija,_N_izvor _N_informacija,_N_informacija _PREF_o _N_izvor,_NOUN_information_NOUN_source,0,1
_A_međunarodan _A_prav _PREF_i,_A_međunarodan _A_prav,_A_međunarodan _A_prav,_ADJ_international_NOUN_law,1,1
_A_tačan _V_odgovoriti _PREF_na,_A_tačan _N_odgovor _PREF_za,_A_tačan _N_odgovor,_NOUN_correct_NOUN_answer,1,1
_A_posleratni _N_kontekst,_PREF_u _A_posleratni _N_kontekst,_A_posleratni _N_kontekst,_NOUN_post_NOUN_war_NOUN_context,1,1
rfid _N_tag,rfid _N_tag,rfid _N_tag,_VERB_rfid_NOUN_tag,1,1
_A_dokumentaran _N_film,a _PRO_njegov _A_dokumentaran _N_film,_A_dokumentaran _N_film,_ADJ_documentary_NOUN_film,0,1
_PREF_za _A_postojeći _N_zapis _PREF_i,_A_postojeći _N_zapis,_A_postojeći _N_zapis,_ADJ_current_NOUN_record,0,0
_A_bibliografski _N_standard a,_A_bibliografski _N_standard,_A_bibliografski _N_standard,_ADJ_bibliographic_ADJ_standard,1,1
_A_trostruk _N_operacija,_A_trostruk _N_operacija,_A_trostruk _N_operacija,_NOUN_triple_NOUN_operation,1,1
_A_kratak _N_priča ili,_A_kratak _V_pričati,_A_kratak _V_pričati,_ADJ_short_NOUN_story,0,1
_A_rad _PREF_na _A_retrospektivan _N_konverzija,_A_rad _PREF_na _A_retrospektivan _N_konverzija,_A_rad _PREF_na _A_retrospektivan _N_konverzija,_ADJ_retrospective_NOUN_conversion,0,0
_A_semantički _V_upitati,_A_semantički _N_upit,_A_semantički _N_upit,_ADJ_semantic_NOUN_concept,1,0
web _N_servis,web _N_servis,web _N_servis,_NOUN_web_NOUN_service,1,1
_A_razni _A_softverski _N_alat _PRO_koji _PREF_su,_A_razni _A_softverski _N_alat,_A_razni _A_softverski _N_alat,_NOUN_software_NOUN_tool,0,0
morfosintaksički _N_opis,_PREF_i morfosintaksički _N_opis,morfosintaksički _N_opis,_NOUN_MSD,1,1
_A_dupli _V_zapisati,_A_dupli _N_zapis _PREF_iz,_A_dupli _N_zapis,_NOUN_duplicate_VERB_record,0,1
_A_pojedinačan _N_datoteka,_A_pojedinačan _N_datoteka,_A_pojedinačan _N_datoteka,_NOUN_audio_NOUN_file,1,0
_N_tip _N_tekst _N_situacija _PREF_u _PRO_koji _PRO_sebe,_N_tip _N_tekst _N_situacija _PREF_u _PRO_koji,_N_tip _N_tekst _N_situacija,_NOUN_text_NOUN_type,1,0
_N_odbor _A_javan _N_biblioteka,_N_odbor _A_javan _N_biblioteka,_N_odbor _PREF_za _A_javan _N_biblioteka,_NOUN_library_NOUN_board,0,0
_PREF_i _N_odlomak _N_tekst,_PREF_i _N_odlomak _N_tekst,_N_odlomak _N_tekst,_NOUN_text_NOUN_extract,1,1
_PRO_isti _N_softver,_PRO_isti _N_softver,_PRO_isti _N_softver,_NOUN_software,0,0
_PREF_za _N_upravljanje _N_sadržaj _V_dati,_N_upravljanje _N_sadržaj _V_dati _PREF_su,_N_upravljanje _N_sadržaj,_NOUN_cm,0,1
_A_istočni evrope,_A_istočni evrope,_A_istočni evrope,_NOUN_eastern_NOUN_europe,1,1
_A_naučni _N_radnik _PREF_i,_A_naučni _N_radnik,_A_naučni _N_radnik,_NOUN_scholar,0,1
_PRO_ona _A_dodeljen _A_tekući _V_brojati,_PRO_ona _A_dodeljen _A_tekući _V_brojati,_A_dodeljen _A_tekući _V_brojati,_VERB_running_NOUN_number,0,0
_A_mrežni _N_efekat,_A_mrežni _N_efekat _PREF_za,_A_mrežni _N_efekat,_NOUN_network_NOUN_effect,1,1
_N_kontakt sa _N_član,_N_kontakt sa _N_član,_N_kontakt sa _N_član,_NOUN_member,0,0
_A_bibliografski _N_baza _N_podatak,_PREF_iz _A_bibliografski _V_bazati _N_podatak _PREF_i,_V_bazati _A_bibliografski _N_podatak,_ADJ_bibliographic_NOUN_database,0,1
_PREF_iz _N_domen _N_lingvistika,_N_domen _N_lingvistika _PREF_iz,_N_domen _N_lingvistika,_NOUN_domain_ADP_of_NOUN_linguistics,1,1
_A_dalek _N_učenje _N_ontologija,_A_dalek _N_učenje _N_ontologija,_A_dalek _N_učenje _N_ontologija,_VERB_learning_ADP_of_NOUN_swn_NOUN_ontology,1,0
_PREF_i _A_elektronski _N_zbirka,_A_elektronski _N_zbirka,_A_elektronski _N_zbirka,_ADJ_electronic_NOUN_collection,1,1
birase _N_etiketa,birase _N_etiketa,birase _N_etiketa,_NOUN_tag,0,0
_V_jesam _A_prisutan _N_informacija _PREF_o _V_lemiti,_A_prisutan _N_informacija _PREF_o _V_lemiti,_A_prisutan _N_informacija _PREF_o _V_lemiti,_NOUN_information_ADP_about_NOUN_lemma,1,0
_PREF_i _A_međunarodan _N_javnost,_A_međunarodan _N_javnost,_A_međunarodan _N_javnost,_ADJ_international_ADJ_public,1,1
_A_tehnološki _N_fakultet,_A_tehnološki _N_fakultet,_A_tehnološki _N_fakultet,_NOUN_faculty_ADP_of_NOUN_technology,1,1
_N_uređivač _N_tekst,_N_uređivač _N_tekst,_N_uređivač _N_tekst,_NOUN_text_NOUN_editor,1,1
_PREF_u _A_naučni _N_biblioteka,_A_naučni _N_biblioteka,_A_naučni _N_biblioteka,_NOUN_library_NOUN_science,0,0
_N_pronalaženje _N_podatak _PREF_i,_N_pronalaženje _N_podatak,_N_podatak _N_pronalaženje,_NOUN_information_NOUN_retrieval,1,0
_N_koncept _PREF_iz _N_suma,_PREF_i _N_suma _N_koncept,_N_suma _N_koncept,_NOUN_sumo_VERB_concept,1,1
_N_procena _N_kvalitet,_N_procena _N_kvalitet _PREF_i,_N_procena _N_kvalitet,_NOUN_quality_VERB_assessment,1,1
